subject	predicate	object	new_relation
reactome:BiochemicalReaction12404	bp3:right	reactome:Complex13383	no
reactome:BiochemicalReaction12404	bp3:displayName	Activation of SHP2 through the binding to phospho-Gab1	no
reactome:BiochemicalReaction12404	bp3:conversionDirection	LEFT-TO-RIGHT	no
reactome:BiochemicalReaction12400	bp3:left	reactome:SmallMolecule162	no
reactome:BiochemicalReaction12400	bp3:left	reactome:Complex4029	no
reactome:BiochemicalReaction12400	bp3:right	reactome:Complex13381	no
reactome:BiochemicalReaction12400	bp3:displayName	GAB1 binds phosphatidylinositol-3,4,5-trisphosphate	no
reactome:BiochemicalReaction12400	bp3:conversionDirection	LEFT-TO-RIGHT	no
reactome:BiochemicalReaction12395	bp3:left	reactome:Complex13377	no
reactome:BiochemicalReaction12395	bp3:left	reactome:SmallMolecule3	no
reactome:BiochemicalReaction12395	bp3:right	reactome:Complex13378	no
reactome:BiochemicalReaction12395	bp3:right	reactome:SmallMolecule4	no
reactome:BiochemicalReaction12395	bp3:displayName	SHC1 phosphorylation by phosphorylated EGFR	no
reactome:BiochemicalReaction12395	bp3:conversionDirection	LEFT-TO-RIGHT	no
reactome:BiochemicalReaction12395	bp3:participantStoichiometry	reactome:Stoichiometry33512	no
reactome:BiochemicalReaction12395	bp3:participantStoichiometry	reactome:Stoichiometry33511	no
reactome:BiochemicalReaction12394	bp3:left	reactome:Complex4459	no
reactome:BiochemicalReaction12394	bp3:left	reactome:Protein1649	no
reactome:BiochemicalReaction12394	bp3:right	reactome:Complex13377	no
reactome:BiochemicalReaction12394	bp3:displayName	SHC1 binds to the phosphorylated EGF receptor:ligand complex	no
reactome:BiochemicalReaction12394	bp3:conversionDirection	LEFT-TO-RIGHT	no
reactome:BiochemicalReaction12397	bp3:left	reactome:SmallMolecule157	no
reactome:BiochemicalReaction12397	bp3:left	reactome:Complex306	no
reactome:BiochemicalReaction12397	bp3:right	reactome:SmallMolecule158	no
reactome:BiochemicalReaction12397	bp3:right	reactome:Complex307	no
reactome:BiochemicalReaction12397	bp3:displayName	SOS1-mediated nucleotide exchange of RAS (EGF:EGFR:SHC1:GRB2:SOS1)	no
reactome:BiochemicalReaction12397	bp3:conversionDirection	LEFT-TO-RIGHT	no
reactome:BiochemicalReaction12396	bp3:left	reactome:Complex2907	no
reactome:BiochemicalReaction12396	bp3:left	reactome:Complex13378	no
reactome:BiochemicalReaction12396	bp3:right	reactome:Complex13379	no
reactome:BiochemicalReaction12396	bp3:displayName	GRB2:SOS1 binds to phosphorylated SHC1 in complex with EGFR	no
reactome:BiochemicalReaction12396	bp3:conversionDirection	LEFT-TO-RIGHT	no
reactome:Control2248	bp3:controller	reactome:Complex13373	no
reactome:Control2248	bp3:controlled	reactome:BiochemicalReaction12386	no
reactome:Catalysis5433	bp3:controller	reactome:Complex4058	no
reactome:Catalysis5433	bp3:controlled	reactome:BiochemicalReaction12386	no
reactome:Control2246	bp3:controller	reactome:Protein29340	no
reactome:Control2246	bp3:controlled	reactome:BiochemicalReaction12384	no
reactome:Catalysis5434	bp3:controller	reactome:Protein6049	no
reactome:Catalysis5434	bp3:controlled	reactome:BiochemicalReaction12387	no
reactome:Catalysis5432	bp3:controller	reactome:Complex13371	no
reactome:Catalysis5432	bp3:controlled	reactome:BiochemicalReaction12381	no
reactome:Control2247	bp3:controller	reactome:Complex13372	no
reactome:Control2247	bp3:controlled	reactome:BiochemicalReaction12385	no
reactome:Catalysis5436	bp3:controlled	reactome:BiochemicalReaction12393	no
reactome:Catalysis5436	bp3:controller	reactome:Complex13376	no
reactome:Catalysis5435	bp3:controlled	reactome:BiochemicalReaction12389	no
reactome:Catalysis5435	bp3:controller	reactome:Complex13374	no
reactome:Catalysis5445	bp3:controlled	reactome:BiochemicalReaction12410	no
reactome:Catalysis5445	bp3:controller	reactome:Complex13393	no
reactome:Catalysis5454	bp3:controlled	reactome:BiochemicalReaction12429	no
reactome:Catalysis5454	bp3:controller	reactome:Complex13417	no
reactome:Catalysis5446	bp3:controlled	reactome:BiochemicalReaction12411	no
reactome:Catalysis5446	bp3:controller	reactome:Complex13394	no
reactome:Catalysis5449	bp3:controlled	reactome:BiochemicalReaction12416	no
reactome:Catalysis5449	bp3:controller	reactome:Complex13399	no
reactome:Control2249	bp3:controlled	reactome:BiochemicalReaction12416	no
reactome:Control2249	bp3:controller	reactome:Protein29353	no
reactome:Catalysis5452	bp3:controlled	reactome:BiochemicalReaction12425	no
reactome:Catalysis5452	bp3:controller	reactome:Complex13407	no
reactome:Catalysis5455	bp3:controlled	reactome:BiochemicalReaction12430	no
reactome:Catalysis5455	bp3:controller	reactome:Protein29359	no
reactome:Catalysis5451	bp3:controlled	reactome:BiochemicalReaction12424	no
reactome:Catalysis5451	bp3:controller	reactome:Complex13408	no
reactome:Catalysis5447	bp3:controlled	reactome:BiochemicalReaction12412	no
reactome:Catalysis5447	bp3:controller	reactome:Complex13394	no
reactome:Catalysis5450	bp3:controlled	reactome:BiochemicalReaction12421	no
reactome:Catalysis5450	bp3:controller	reactome:Complex13405	no
reactome:Catalysis5448	bp3:controlled	reactome:BiochemicalReaction12415	no
reactome:Catalysis5448	bp3:controller	reactome:Complex13398	no
reactome:Catalysis5453	bp3:controlled	reactome:BiochemicalReaction12427	no
reactome:Catalysis5453	bp3:controller	reactome:Protein8613	no
reactome:Catalysis5444	bp3:controlled	reactome:BiochemicalReaction12408	no
reactome:Catalysis5444	bp3:controller	reactome:Complex13383	no
reactome:Catalysis5441	bp3:controlled	reactome:BiochemicalReaction12405	no
reactome:Catalysis5441	bp3:controller	reactome:Complex13383	no
reactome:Catalysis5443	bp3:controlled	reactome:BiochemicalReaction12407	no
reactome:Catalysis5443	bp3:controller	reactome:Complex13383	no
reactome:Catalysis5440	bp3:controlled	reactome:BiochemicalReaction12403	no
reactome:Catalysis5440	bp3:controller	reactome:Complex4454	no
reactome:Catalysis5439	bp3:controlled	reactome:BiochemicalReaction12401	no
reactome:Catalysis5439	bp3:controller	reactome:Complex13382	no
reactome:Catalysis5442	bp3:controlled	reactome:BiochemicalReaction12406	no
reactome:Catalysis5442	bp3:controller	reactome:Complex13383	no
reactome:Catalysis5438	bp3:controlled	reactome:BiochemicalReaction12397	no
reactome:Catalysis5438	bp3:controller	reactome:Complex13379	no
reactome:Catalysis5437	bp3:controlled	reactome:BiochemicalReaction12395	no
reactome:Catalysis5437	bp3:controller	reactome:Complex13377	no
